G,Season,Standardized_Date,Date,Day,Time,School,Standardized_School,Game_Type,Opponent,Standardized_Opponent,Post_Season,Conf,Result,Combined_Location,City,State,Country,Pts,Opp,W,L,T,Streak,Notes,Latitude,Longitude
3,1953,10/17/1953,17-Oct-53,Sat,,(1)Â Notre Dame,Notre Dame,Home,(15)Â Pitt,Pitt,N,Ind,W,"South Bend, IN",South Bend,IN,USA,23,14,3,0,0,W 3,,41.666386,-86.267592
10,1953,12/5/1953,5-Dec-53,Sat,,(2)Â Notre Dame,Notre Dame,Home,SMU,SMU,N,SWC,W,"South Bend, IN",South Bend,IN,USA,40,14,9,0,1,W 2,,41.666386,-86.267592
2,1953,10/3/1953,3-Oct-53,Sat,,(1)Â Notre Dame,Notre Dame,Away,Purdue,Purdue,N,Big Ten,W,"West Lafayette, IN",West Lafayette,IN,USA,37,7,2,0,0,W 2,,40.460621,-86.915627
5,1954,10/30/1954,30-Oct-54,Sat,,(6)Â Notre Dame,Notre Dame,Away,(15)Â Navy,Navy,N,Ind,W,"Baltimore, MD",Baltimore,MD,USA,6,0,4,1,0,W 3,"Baltimore, MD",39.319732,-76.649533
10,1954,12/4/1954,4-Dec-54,Sat,,(4)Â Notre Dame,Notre Dame,Away,SMU,SMU,N,SWC,W,"Dallas, TX",Dallas,TX,USA,26,14,9,1,0,W 8,,32.736212,-96.784359
8,1954,11/20/1954,20-Nov-54,Sat,,(4)Â Notre Dame,Notre Dame,Away,(19)Â Iowa,Iowa,N,Big Ten,W,"Iowa City, IA",Iowa City,IA,USA,34,18,7,1,0,W 6,,41.65748,-91.51939
6,1954,11/6/1954,6-Nov-54,Sat,,(5)Â Notre Dame,Notre Dame,Away,Pennsylvania,Pennsylvania,N,Ind,W,"Philadelphia, PA",Philadelphia,PA,USA,42,7,5,1,0,W 4,,39.990821,-75.168428
3,1954,10/9/1954,9-Oct-54,Sat,,(8)Â Notre Dame,Notre Dame,Away,Pitt,Pitt,N,Ind,W,"Pittsburgh, PA",Pittsburgh,PA,USA,33,0,2,1,0,W 1,,40.450509,-79.936305
4,1954,10/16/1954,16-Oct-54,Sat,,(8)Â Notre Dame,Notre Dame,Home,Michigan State,Michigan State,N,Big Ten,W,"South Bend, IN",South Bend,IN,USA,20,19,3,1,0,W 2,,41.666386,-86.267592
7,1954,11/13/1954,13-Nov-54,Sat,,(5)Â Notre Dame,Notre Dame,Home,North Carolina,North Carolina,N,ACC,W,"South Bend, IN",South Bend,IN,USA,42,13,6,1,0,W 5,,41.666386,-86.267592
2,1954,10/2/1954,2-Oct-54,Sat,,(1)Â Notre Dame,Notre Dame,Home,(19)Â Purdue,Purdue,N,Big Ten,L,"South Bend, IN",South Bend,IN,USA,14,27,1,1,0,L 1,,41.666386,-86.267592
1,1954,9/25/1954,25-Sep-54,Sat,,(2)Â Notre Dame,Notre Dame,Home,(4)Â Texas,Texas,N,SWC,W,"South Bend, IN",South Bend,IN,USA,21,0,1,0,0,W 1,,41.666386,-86.267592
9,1954,11/27/1954,27-Nov-54,Sat,,(4)Â Notre Dame,Notre Dame,Home,(17)Â USC,USC,N,PCC,W,"South Bend, IN",South Bend,IN,USA,23,17,8,1,0,W 7,,41.666386,-86.267592
8,1955,11/12/1955,12-Nov-55,Sat,,(5)Â Notre Dame,Notre Dame,Away,North Carolina,North Carolina,N,ACC,W,"Chapel Hill, NC",Chapel Hill,NC,USA,27,7,7,1,0,W 4,,35.930208,-79.035496
4,1955,10/15/1955,15-Oct-55,Sat,,(4)Â Notre Dame,Notre Dame,Away,(13)Â Michigan State,Michigan State,N,Big Ten,L,"East Lansing, MI",East Lansing,MI,USA,7,21,3,1,0,L 1,,42.736452,-84.479762
10,1955,11/26/1955,26-Nov-55,Sat,,(5)Â Notre Dame,Notre Dame,Away,USC,USC,N,PCC,L,"Los Angeles, CA",Los Angeles,CA,USA,20,42,8,2,0,L 1,,34.05513,-118.25703
3,1955,10/7/1955,7-Oct-55,Fri,,(5)Â Notre Dame,Notre Dame,Away,(15)Â Miami (FL),Miami FL,N,Ind,W,"Miami, FL",Miami,FL,USA,14,0,3,0,0,W 3,,25.766368,-80.210268
7,1955,11/5/1955,5-Nov-55,Sat,,(6)Â Notre Dame,Notre Dame,Away,Pennsylvania,Pennsylvania,N,Ind,W,"Philadelphia, PA",Philadelphia,PA,USA,46,14,6,1,0,W 3,,39.990821,-75.168428
2,1955,10/1/1955,1-Oct-55,Sat,,(4)Â Notre Dame,Notre Dame,Home,Indiana,Indiana,N,Big Ten,W,"South Bend, IN",South Bend,IN,USA,19,0,2,0,0,W 2,,41.666386,-86.267592
9,1955,11/19/1955,19-Nov-55,Sat,,(4)Â Notre Dame,Notre Dame,Home,Iowa,Iowa,N,Big Ten,W,"South Bend, IN",South Bend,IN,USA,17,14,8,1,0,W 5,,41.666386,-86.267592
6,1955,10/29/1955,29-Oct-55,Sat,,(9)Â Notre Dame,Notre Dame,Home,(4)Â Navy,Navy,N,Ind,W,"South Bend, IN",South Bend,IN,USA,21,7,5,1,0,W 2,,41.666386,-86.267592
1,1955,9/24/1955,24-Sep-55,Sat,,(11)Â Notre Dame,Notre Dame,Home,SMU,SMU,N,SWC,W,"South Bend, IN",South Bend,IN,USA,17,0,1,0,0,W 1,,41.666386,-86.267592
5,1955,10/22/1955,22-Oct-55,Sat,,(11)Â Notre Dame,Notre Dame,Away,Purdue,Purdue,N,Big Ten,W,"West Lafayette, IN",West Lafayette,IN,USA,22,7,4,1,0,W 1,,40.460621,-86.915627
6,1956,11/3/1956,3-Nov-56,Sat,,Notre Dame,Notre Dame,Away,Navy,Navy,N,Ind,L,"Baltimore, MD",Baltimore,MD,USA,7,33,1,5,0,L 4,"Baltimore, MD",39.319732,-76.649533
1,1956,9/22/1956,22-Sep-56,Sat,,(3)Â Notre Dame,Notre Dame,Away,SMU,SMU,N,SWC,L,"Dallas, TX",Dallas,TX,USA,13,19,0,1,0,L 1,,32.736212,-96.784359
9,1956,11/24/1956,24-Nov-56,Sat,,Notre Dame,Notre Dame,Away,(3)Â Iowa,Iowa,N,Big Ten,L,"Iowa City, IA",Iowa City,IA,USA,8,48,2,7,0,L 1,,41.65748,-91.51939
10,1956,12/1/1956,1-Dec-56,Sat,,Notre Dame,Notre Dame,Away,(17)Â USC,USC,N,PCC,L,"Los Angeles, CA",Los Angeles,CA,USA,20,28,2,8,0,L 2,,34.05513,-118.25703
7,1956,11/10/1956,10-Nov-56,Sat,,Notre Dame,Notre Dame,Away,(20)Â Pitt,Pitt,N,Ind,L,"Pittsburgh, PA",Pittsburgh,PA,USA,13,26,1,6,0,L 5,,40.450509,-79.936305
2,1956,10/6/1956,6-Oct-56,Sat,,(17)Â Notre Dame,Notre Dame,Home,Indiana,Indiana,N,Big Ten,W,"South Bend, IN",South Bend,IN,USA,20,6,1,1,0,W 1,,41.666386,-86.267592
4,1956,10/20/1956,20-Oct-56,Sat,,Notre Dame,Notre Dame,Home,(2)Â Michigan State,Michigan State,N,Big Ten,L,"South Bend, IN",South Bend,IN,USA,14,47,1,3,0,L 2,,41.666386,-86.267592
8,1956,11/17/1956,17-Nov-56,Sat,,Notre Dame,Notre Dame,Home,North Carolina,North Carolina,N,ACC,W,"South Bend, IN",South Bend,IN,USA,21,14,2,6,0,W 1,,41.666386,-86.267592
5,1956,10/27/1956,27-Oct-56,Sat,,Notre Dame,Notre Dame,Home,(2)Â Oklahoma,Oklahoma,N,Big 7,L,"South Bend, IN",South Bend,IN,USA,0,40,1,4,0,L 3,,41.666386,-86.267592
3,1956,10/13/1956,13-Oct-56,Sat,,(18)Â Notre Dame,Notre Dame,Home,Purdue,Purdue,N,Big Ten,L,"South Bend, IN",South Bend,IN,USA,14,28,1,2,0,L 1,,41.666386,-86.267592
10,1957,12/7/1957,7-Dec-57,Sat,,(12)Â Notre Dame,Notre Dame,Away,SMU,SMU,N,SWC,W,"Dallas, TX",Dallas,TX,USA,54,21,7,3,0,W 2,,32.736212,-96.784359
6,1957,11/9/1957,9-Nov-57,Sat,,(15)Â Notre Dame,Notre Dame,Away,(4)Â Michigan State,Michigan State,N,Big Ten,L,"East Lansing, MI",East Lansing,MI,USA,6,34,4,2,0,L 2,,42.736452,-84.479762
7,1957,11/16/1957,16-Nov-57,Sat,,Notre Dame,Notre Dame,Away,(2)Â Oklahoma,Oklahoma,N,Big 7,W,"Norman, OK",Norman,OK,USA,7,0,5,2,0,W 1,,35.224197,-97.297922
3,1957,10/12/1957,12-Oct-57,Sat,,(12)Â Notre Dame,Notre Dame,Neutral,(10)Â Army,Army,N,Ind,W,"Philadelphia, PA",Philadelphia,PA,USA,23,21,3,0,0,W 3,"Philadelphia, PA",39.990821,-75.168428
2,1957,10/5/1957,5-Oct-57,Sat,,(16)Â Notre Dame,Notre Dame,Home,Indiana,Indiana,N,Big Ten,W,"South Bend, IN",South Bend,IN,USA,26,0,2,0,0,W 2,,41.666386,-86.267592
8,1957,11/23/1957,23-Nov-57,Sat,,(9)Â Notre Dame,Notre Dame,Home,(8)Â Iowa,Iowa,N,Big Ten,L,"South Bend, IN",South Bend,IN,USA,13,21,5,3,0,L 1,,41.666386,-86.267592
5,1957,11/2/1957,2-Nov-57,Sat,,(5)Â Notre Dame,Notre Dame,Home,(16)Â Navy,Navy,N,Ind,L,"South Bend, IN",South Bend,IN,USA,6,20,4,1,0,L 1,,41.666386,-86.267592
4,1957,10/26/1957,26-Oct-57,Sat,,(7)Â Notre Dame,Notre Dame,Home,Pitt,Pitt,N,Ind,W,"South Bend, IN",South Bend,IN,USA,13,7,4,0,0,W 4,,41.666386,-86.267592
9,1957,11/30/1957,30-Nov-57,Sat,,(12)Â Notre Dame,Notre Dame,Home,USC,USC,N,PCC,W,"South Bend, IN",South Bend,IN,USA,40,12,6,3,0,W 1,,41.666386,-86.267592
1,1957,9/28/1957,28-Sep-57,Sat,,Notre Dame,Notre Dame,Away,Purdue,Purdue,N,Big Ten,W,"West Lafayette, IN",West Lafayette,IN,USA,12,0,1,0,0,W 1,,40.460621,-86.915627
6,1958,11/1/1958,1-Nov-58,Sat,,Notre Dame,Notre Dame,Away,(15)Â Navy,Navy,N,Ind,W,"Baltimore, MD",Baltimore,MD,USA,40,20,4,2,0,W 1,"Baltimore, MD",39.319732,-76.649533
2,1958,10/4/1958,4-Oct-58,Sat,,(7)Â Notre Dame,Notre Dame,Away,(17)Â SMU,SMU,N,SWC,W,"Dallas, TX",Dallas,TX,USA,14,6,2,0,0,W 2,,32.736212,-96.784359
9,1958,11/22/1958,22-Nov-58,Sat,,(15)Â Notre Dame,Notre Dame,Away,(6)Â Iowa,Iowa,N,Big Ten,L,"Iowa City, IA",Iowa City,IA,USA,21,31,5,4,0,L 1,,41.65748,-91.51939
10,1958,11/29/1958,29-Nov-58,Sat,,(18)Â Notre Dame,Notre Dame,Away,USC,USC,N,PCC,W,"Los Angeles, CA",Los Angeles,CA,USA,20,13,6,4,0,W 1,,34.05513,-118.25703
7,1958,11/8/1958,8-Nov-58,Sat,,(14)Â Notre Dame,Notre Dame,Away,Pitt,Pitt,N,Ind,L,"Pittsburgh, PA",Pittsburgh,PA,USA,26,29,4,3,0,L 1,,40.450509,-79.936305
3,1958,10/11/1958,11-Oct-58,Sat,,(4)Â Notre Dame,Notre Dame,Home,(3)Â Army,Army,N,Ind,L,"South Bend, IN",South Bend,IN,USA,2,14,2,1,0,L 1,,41.666386,-86.267592
4,1958,10/18/1958,18-Oct-58,Sat,,(12)Â Notre Dame,Notre Dame,Home,Duke,Duke,N,ACC,W,"South Bend, IN",South Bend,IN,USA,9,7,3,1,0,W 1,,41.666386,-86.267592
1,1958,9/27/1958,27-Sep-58,Sat,,(5)Â Notre Dame,Notre Dame,Home,Indiana,Indiana,N,Big Ten,W,"South Bend, IN",South Bend,IN,USA,18,0,1,0,0,W 1,,41.666386,-86.267592
8,1958,11/15/1958,15-Nov-58,Sat,,Notre Dame,Notre Dame,Home,(11)Â North Carolina,North Carolina,N,ACC,W,"South Bend, IN",South Bend,IN,USA,34,24,5,3,0,W 1,,41.666386,-86.267592
5,1958,10/25/1958,25-Oct-58,Sat,,(11)Â Notre Dame,Notre Dame,Home,(15)Â Purdue,Purdue,N,Big Ten,L,"South Bend, IN",South Bend,IN,USA,22,29,3,2,0,L 1,,41.666386,-86.267592
3,1959,10/10/1959,10-Oct-59,Sat,,Notre Dame,Notre Dame,Away,California,California,N,AAWU,W,"Berkeley, CA",Berkeley,CA,USA,28,6,2,1,0,W 1,,37.865832,-122.297864
4,1959,10/17/1959,17-Oct-59,Sat,,Notre Dame,Notre Dame,Away,Michigan State,Michigan State,N,Big Ten,L,"East Lansing, MI",East Lansing,MI,USA,0,19,2,2,0,L 1,,42.736452,-84.479762
9,1959,11/21/1959,21-Nov-59,Sat,,Notre Dame,Notre Dame,Away,(16)Â Iowa,Iowa,N,Big Ten,W,"Iowa City, IA",Iowa City,IA,USA,20,19,4,5,0,W 1,,41.65748,-91.51939
8,1959,11/14/1959,14-Nov-59,Sat,,Notre Dame,Notre Dame,Away,Pitt,Pitt,N,Ind,L,"Pittsburgh, PA",Pittsburgh,PA,USA,13,28,3,5,0,L 2,,40.450509,-79.936305
7,1959,11/7/1959,7-Nov-59,Sat,,Notre Dame,Notre Dame,Home,(19)Â Georgia Tech,Georgia Tech,N,SEC,L,"South Bend, IN",South Bend,IN,USA,10,14,3,4,0,L 1,,41.666386,-86.267592
6,1959,10/31/1959,31-Oct-59,Sat,,Notre Dame,Notre Dame,Home,Navy,Navy,N,Ind,W,"South Bend, IN",South Bend,IN,USA,25,22,3,3,0,W 1,,41.666386,-86.267592
1,1959,9/26/1959,26-Sep-59,Sat,,Notre Dame,Notre Dame,Home,North Carolina,North Carolina,N,ACC,W,"South Bend, IN",South Bend,IN,USA,28,8,1,0,0,W 1,,41.666386,-86.267592
5,1959,10/24/1959,24-Oct-59,Sat,,Notre Dame,Notre Dame,Home,(2)Â Northwestern,Northwestern,N,Big Ten,L,"South Bend, IN",South Bend,IN,USA,24,30,2,3,0,L 2,,41.666386,-86.267592
10,1959,11/28/1959,28-Nov-59,Sat,,Notre Dame,Notre Dame,Home,(7)Â USC,USC,N,AAWU,W,"South Bend, IN",South Bend,IN,USA,16,6,5,5,0,W 2,,41.666386,-86.267592
2,1959,10/3/1959,3-Oct-59,Sat,,(8)Â Notre Dame,Notre Dame,Away,Purdue,Purdue,N,Big Ten,L,"West Lafayette, IN",West Lafayette,IN,USA,7,28,1,1,0,L 1,,40.460621,-86.915627
3,1960,10/8/1960,8-Oct-60,Sat,,Notre Dame,Notre Dame,Away,North Carolina,North Carolina,N,ACC,L,"Chapel Hill, NC",Chapel Hill,NC,USA,7,12,1,2,0,L 2,,35.930208,-79.035496
5,1960,10/22/1960,22-Oct-60,Sat,,Notre Dame,Notre Dame,Away,Northwestern,Northwestern,N,Big Ten,L,"Evanston, IL",Evanston,IL,USA,6,7,1,4,0,L 4,,42.046069,-87.691232
10,1960,11/26/1960,26-Nov-60,Sat,,Notre Dame,Notre Dame,Away,USC,USC,N,AAWU,W,"Los Angeles, CA",Los Angeles,CA,USA,17,0,2,8,0,W 1,,34.05513,-118.25703
8,1960,11/12/1960,12-Nov-60,Sat,,Notre Dame,Notre Dame,Away,Miami (FL),Miami FL,N,Ind,L,"Miami, FL",Miami,FL,USA,21,28,1,7,0,L 7,,25.766368,-80.210268
6,1960,10/29/1960,29-Oct-60,Sat,,Notre Dame,Notre Dame,Neutral,(4)Â Navy,Navy,N,Ind,L,"Philadelphia, PA",Philadelphia,PA,USA,7,14,1,5,0,L 5,"Philadelphia, PA",39.990821,-75.168428
1,1960,9/24/1960,24-Sep-60,Sat,,Notre Dame,Notre Dame,Home,California,California,N,AAWU,W,"South Bend, IN",South Bend,IN,USA,21,7,1,0,0,W 1,,41.666386,-86.267592
9,1960,11/19/1960,19-Nov-60,Sat,,Notre Dame,Notre Dame,Home,(2)Â Iowa,Iowa,N,Big Ten,L,"South Bend, IN",South Bend,IN,USA,0,28,1,8,0,L 8,,41.666386,-86.267592
4,1960,10/15/1960,15-Oct-60,Sat,,Notre Dame,Notre Dame,Home,(14)Â Michigan State,Michigan State,N,Big Ten,L,"South Bend, IN",South Bend,IN,USA,0,21,1,3,0,L 3,,41.666386,-86.267592
7,1960,11/5/1960,5-Nov-60,Sat,,Notre Dame,Notre Dame,Home,(14)Â Pitt,Pitt,N,Ind,L,"South Bend, IN",South Bend,IN,USA,13,20,1,6,0,L 6,,41.666386,-86.267592
2,1960,10/1/1960,1-Oct-60,Sat,,(12)Â Notre Dame,Notre Dame,Home,Purdue,Purdue,N,Big Ten,L,"South Bend, IN",South Bend,IN,USA,19,51,1,1,0,L 1,,41.666386,-86.267592
10,1961,12/2/1961,2-Dec-61,Sat,,Notre Dame,Notre Dame,Away,Duke,Duke,N,ACC,L,"Durham, NC",Durham,NC,USA,13,37,5,5,0,L 2,,35.994034,-78.898621
4,1961,10/21/1961,21-Oct-61,Sat,,(6)Â Notre Dame,Notre Dame,Away,(1)Â Michigan State,Michigan State,N,Big Ten,L,"East Lansing, MI",East Lansing,MI,USA,7,17,3,1,0,L 1,,42.736452,-84.479762
9,1961,11/25/1961,25-Nov-61,Sat,,Notre Dame,Notre Dame,Away,Iowa,Iowa,N,Big Ten,L,"Iowa City, IA",Iowa City,IA,USA,21,42,5,4,0,L 1,,41.65748,-91.51939
7,1961,11/11/1961,11-Nov-61,Sat,,Notre Dame,Notre Dame,Away,Pitt,Pitt,N,Ind,W,"Pittsburgh, PA",Pittsburgh,PA,USA,26,20,4,3,0,W 1,,40.450509,-79.936305
6,1961,11/4/1961,4-Nov-61,Sat,,Notre Dame,Notre Dame,Home,Navy,Navy,N,Ind,L,"South Bend, IN",South Bend,IN,USA,10,13,3,3,0,L 3,,41.666386,-86.267592
5,1961,10/28/1961,28-Oct-61,Sat,,(8)Â Notre Dame,Notre Dame,Home,Northwestern,Northwestern,N,Big Ten,L,"South Bend, IN",South Bend,IN,USA,10,12,3,2,0,L 2,,41.666386,-86.267592
1,1961,9/30/1961,30-Sep-61,Sat,,Notre Dame,Notre Dame,Home,Oklahoma,Oklahoma,N,Big 8,W,"South Bend, IN",South Bend,IN,USA,19,6,1,0,0,W 1,,41.666386,-86.267592
8,1961,11/18/1961,18-Nov-61,Sat,,Notre Dame,Notre Dame,Home,(10)Â Syracuse,Syracuse,N,Ind,W,"South Bend, IN",South Bend,IN,USA,17,15,5,3,0,W 2,,41.666386,-86.267592
3,1961,10/14/1961,14-Oct-61,Sat,,(8)Â Notre Dame,Notre Dame,Home,USC,USC,N,AAWU,W,"South Bend, IN",South Bend,IN,USA,30,0,3,0,0,W 3,,41.666386,-86.267592
2,1961,10/7/1961,7-Oct-61,Sat,,Notre Dame,Notre Dame,Away,Purdue,Purdue,N,Big Ten,W,"West Lafayette, IN",West Lafayette,IN,USA,22,20,2,0,0,W 2,,40.460621,-86.915627
5,1962,10/27/1962,27-Oct-62,Sat,,Notre Dame,Notre Dame,Away,(3)Â Northwestern,Northwestern,N,Big Ten,L,"Evanston, IL",Evanston,IL,USA,6,35,1,4,0,L 4,,42.046069,-87.691232
10,1962,12/1/1962,1-Dec-62,Sat,,Notre Dame,Notre Dame,Away,(1)Â USC,USC,N,AAWU,L,"Los Angeles, CA",Los Angeles,CA,USA,0,25,5,5,0,L 1,,34.05513,-118.25703
3,1962,10/13/1962,13-Oct-62,Sat,,Notre Dame,Notre Dame,Away,Wisconsin,Wisconsin,N,Big Ten,L,"Madison, WI",Madison,WI,USA,8,17,1,2,0,L 2,,43.081309,-89.395609
1,1962,9/29/1962,29-Sep-62,Sat,,Notre Dame,Notre Dame,Away,Oklahoma,Oklahoma,N,Big 8,W,"Norman, OK",Norman,OK,USA,13,7,1,0,0,W 1,,35.224197,-97.297922
6,1962,11/3/1962,3-Nov-62,Sat,,Notre Dame,Notre Dame,Neutral,Navy,Navy,N,Ind,W,"Philadelphia, PA",Philadelphia,PA,USA,20,12,2,4,0,W 1,"Philadelphia, PA",39.990821,-75.168428
9,1962,11/24/1962,24-Nov-62,Sat,,Notre Dame,Notre Dame,Home,Iowa,Iowa,N,Big Ten,W,"South Bend, IN",South Bend,IN,USA,35,12,5,4,0,W 4,,41.666386,-86.267592
4,1962,10/20/1962,20-Oct-62,Sat,,Notre Dame,Notre Dame,Home,Michigan State,Michigan State,N,Big Ten,L,"South Bend, IN",South Bend,IN,USA,7,31,1,3,0,L 3,,41.666386,-86.267592
8,1962,11/17/1962,17-Nov-62,Sat,,Notre Dame,Notre Dame,Home,North Carolina,North Carolina,N,ACC,W,"South Bend, IN",South Bend,IN,USA,21,7,4,4,0,W 3,,41.666386,-86.267592
7,1962,11/10/1962,10-Nov-62,Sat,,Notre Dame,Notre Dame,Home,Pitt,Pitt,N,Ind,W,"South Bend, IN",South Bend,IN,USA,43,22,3,4,0,W 2,,41.666386,-86.267592
2,1962,10/6/1962,6-Oct-62,Sat,,Notre Dame,Notre Dame,Home,Purdue,Purdue,N,Big Ten,L,"South Bend, IN",South Bend,IN,USA,6,24,1,1,0,L 1,,41.666386,-86.267592
9,1963,11/28/1963,28-Nov-63,Thu,,Notre Dame,Notre Dame,Away,Syracuse,Syracuse,N,Ind,L,"Bronx, NY",New York,NY,USA,7,14,2,7,0,L 5,"Bronx, NY",40.853551,-73.874979
8,1963,11/16/1963,16-Nov-63,Sat,,Notre Dame,Notre Dame,Away,(4)Â Michigan State,Michigan State,N,Big Ten,L,"East Lansing, MI",East Lansing,MI,USA,7,12,2,6,0,L 4,,42.736452,-84.479762
6,1963,11/2/1963,2-Nov-63,Sat,,Notre Dame,Notre Dame,Home,(4)Â Navy,Navy,N,Ind,L,"South Bend, IN",South Bend,IN,USA,14,35,2,4,0,L 2,,41.666386,-86.267592
7,1963,11/9/1963,9-Nov-63,Sat,,Notre Dame,Notre Dame,Home,(8)Â Pitt,Pitt,N,Ind,L,"South Bend, IN",South Bend,IN,USA,7,27,2,5,0,L 3,,41.666386,-86.267592
4,1963,10/19/1963,19-Oct-63,Sat,,Notre Dame,Notre Dame,Home,UCLA,UCLA,N,AAWU,W,"South Bend, IN",South Bend,IN,USA,27,12,2,2,0,W 2,,41.666386,-86.267592
3,1963,10/12/1963,12-Oct-63,Sat,,Notre Dame,Notre Dame,Home,(7)Â USC,USC,N,AAWU,W,"South Bend, IN",South Bend,IN,USA,17,14,1,2,0,W 1,,41.666386,-86.267592
1,1963,9/28/1963,28-Sep-63,Sat,,Notre Dame,Notre Dame,Home,(6)Â Wisconsin,Wisconsin,N,Big Ten,L,"South Bend, IN",South Bend,IN,USA,9,14,0,1,0,L 1,,41.666386,-86.267592
5,1963,10/26/1963,26-Oct-63,Sat,,Notre Dame,Notre Dame,Away,Stanford,Stanford,N,AAWU,L,"Stanford, CA",Stanford,CA,USA,14,24,2,3,0,L 1,,37.425888,-122.165288
2,1963,10/5/1963,5-Oct-63,Sat,,Notre Dame,Notre Dame,Away,Purdue,Purdue,N,Big Ten,L,"West Lafayette, IN",West Lafayette,IN,USA,6,7,0,2,0,L 2,,40.460621,-86.915627
3,1964,10/10/1964,10-Oct-64,Sat,,(6)Â Notre Dame,Notre Dame,Away,Air Force,Air Force,N,Ind,W,"Colorado Springs, CO",Colorado Springs,CO,USA,34,7,3,0,0,W 3,,38.875356,-104.813228
10,1964,11/28/1964,28-Nov-64,Sat,,(1)Â Notre Dame,Notre Dame,Away,USC,USC,N,AAWU,L,"Los Angeles, CA",Los Angeles,CA,USA,17,20,9,1,0,L 1,,34.05513,-118.25703
1,1964,9/26/1964,26-Sep-64,Sat,,Notre Dame,Notre Dame,Away,Wisconsin,Wisconsin,N,Big Ten,W,"Madison, WI",Madison,WI,USA,31,7,1,0,0,W 1,,43.081309,-89.395609
6,1964,10/31/1964,31-Oct-64,Sat,,(2)Â Notre Dame,Notre Dame,Neutral,Navy,Navy,N,Ind,W,"Philadelphia, PA",Philadelphia,PA,USA,40,0,6,0,0,W 6,"Philadelphia, PA",39.990821,-75.168428
7,1964,11/7/1964,7-Nov-64,Sat,,(1)Â Notre Dame,Notre Dame,Away,Pitt,Pitt,N,Ind,W,"Pittsburgh, PA",Pittsburgh,PA,USA,17,15,7,0,0,W 7,,40.450509,-79.936305
9,1964,11/21/1964,21-Nov-64,Sat,,(1)Â Notre Dame,Notre Dame,Home,Iowa,Iowa,N,Big Ten,W,"South Bend, IN",South Bend,IN,USA,28,0,9,0,0,W 9,,41.666386,-86.267592
8,1964,11/14/1964,14-Nov-64,Sat,,(1)Â Notre Dame,Notre Dame,Home,Michigan State,Michigan State,N,Big Ten,W,"South Bend, IN",South Bend,IN,USA,34,7,8,0,0,W 8,,41.666386,-86.267592
2,1964,10/3/1964,3-Oct-64,Sat,,(9)Â Notre Dame,Notre Dame,Home,Purdue,Purdue,N,Big Ten,W,"South Bend, IN",South Bend,IN,USA,34,15,2,0,0,W 2,,41.666386,-86.267592
5,1964,10/24/1964,24-Oct-64,Sat,,(2)Â Notre Dame,Notre Dame,Home,Stanford,Stanford,N,AAWU,W,"South Bend, IN",South Bend,IN,USA,28,6,5,0,0,W 5,,41.666386,-86.267592
4,1964,10/17/1964,17-Oct-64,Sat,,(4)Â Notre Dame,Notre Dame,Home,UCLA,UCLA,N,AAWU,W,"South Bend, IN",South Bend,IN,USA,24,0,4,0,0,W 4,,41.666386,-86.267592
1,1965,9/18/1965,18-Sep-65,Sat,,(3)Â Notre Dame,Notre Dame,Away,California,California,N,AAWU,W,"Berkeley, CA",Berkeley,CA,USA,48,6,1,0,0,W 1,,37.865832,-122.297864
4,1965,10/9/1965,9-Oct-65,Sat,,(7)Â Notre Dame,Notre Dame,Away,Army,Army,N,Ind,W,"Flushing, NY",New York,NY,USA,17,0,3,1,0,W 2,"Flushing, NY",40.75559,-73.81188
10,1965,11/27/1965,27-Nov-65,Sat,,(6)Â Notre Dame,Notre Dame,Away,Miami (FL),Miami FL,N,Ind,T,"Miami, FL",Miami,FL,USA,0,0,7,2,1,T 1,,25.766368,-80.210268
7,1965,11/6/1965,6-Nov-65,Sat,,(4)Â Notre Dame,Notre Dame,Away,Pitt,Pitt,N,Ind,W,"Pittsburgh, PA",Pittsburgh,PA,USA,69,13,6,1,0,W 5,,40.450509,-79.936305
9,1965,11/20/1965,20-Nov-65,Sat,,(4)Â Notre Dame,Notre Dame,Home,(1)Â Michigan State,Michigan State,N,Big Ten,L,"South Bend, IN",South Bend,IN,USA,3,12,7,2,0,L 1,,41.666386,-86.267592
6,1965,10/30/1965,30-Oct-65,Sat,,(4)Â Notre Dame,Notre Dame,Home,Navy,Navy,N,Ind,W,"South Bend, IN",South Bend,IN,USA,29,3,5,1,0,W 4,,41.666386,-86.267592
8,1965,11/13/1965,13-Nov-65,Sat,,(4)Â Notre Dame,Notre Dame,Home,North Carolina,North Carolina,N,ACC,W,"South Bend, IN",South Bend,IN,USA,17,0,7,1,0,W 6,,41.666386,-86.267592
3,1965,10/2/1965,2-Oct-65,Sat,,(8)Â Notre Dame,Notre Dame,Home,Northwestern,Northwestern,N,Big Ten,W,"South Bend, IN",South Bend,IN,USA,38,7,2,1,0,W 1,,41.666386,-86.267592
5,1965,10/23/1965,23-Oct-65,Sat,,(7)Â Notre Dame,Notre Dame,Home,(4)Â USC,USC,N,AAWU,W,"South Bend, IN",South Bend,IN,USA,28,7,4,1,0,W 3,,41.666386,-86.267592
2,1965,9/25/1965,25-Sep-65,Sat,,(1)Â Notre Dame,Notre Dame,Away,(6)Â Purdue,Purdue,N,Big Ten,L,"West Lafayette, IN",West Lafayette,IN,USA,21,25,1,1,0,L 1,,40.460621,-86.915627
